gender,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,freetime,goout,health,attendance,ssc,hsc,avg_pointer,Learner_type
F,GT3,4,4,at_home,teacher,mother,2,2,yes,no,no,yes,yes,no,3,4,3,74.47,83.62,72.88,7.23,1
F,GT3,1,1,at_home,other,father,1,2,no,yes,no,no,yes,yes,3,3,3,70.87,89.25,74.87,7.11,1
F,LE3,1,1,at_home,other,mother,1,2,yes,no,no,yes,yes,yes,3,2,3,55.23,90.69,78.56,7.93,1
F,GT3,4,2,health,services,mother,1,3,no,yes,yes,yes,yes,yes,2,2,5,82.03,81.21,66.61,6.17,0
F,GT3,3,3,other,other,father,1,2,no,yes,no,yes,yes,no,3,2,5,85.91,98.59,82.86,8.48,1
M,LE3,4,3,services,other,mother,1,2,no,yes,yes,yes,yes,yes,4,2,5,52.78,89.73,77.43,8.54,1
M,LE3,2,2,other,other,mother,1,2,no,no,no,yes,yes,yes,4,4,3,57.75,94.84,89.75,8.65,1
F,GT3,4,4,other,teacher,mother,2,2,yes,yes,no,yes,yes,no,1,4,1,70.86,93.51,86.09,6.91,0
M,LE3,3,2,services,other,mother,1,2,no,yes,no,yes,yes,yes,2,2,1,68.57,69.32,58.21,5.96,0
M,GT3,3,4,other,other,mother,1,2,no,yes,yes,yes,yes,yes,5,1,5,60.11,96.74,88.72,7.14,1
F,GT3,4,4,teacher,health,mother,1,2,no,yes,no,yes,yes,yes,3,3,2,64.44,94.21,81.74,8.75,1
F,GT3,2,1,services,other,father,3,3,no,yes,yes,yes,yes,yes,2,2,4,83.5,88.85,76.3,7.4,1
M,LE3,4,4,health,services,father,1,1,no,yes,yes,yes,yes,yes,3,3,5,67.04,93.15,86.02,7.19,1
M,GT3,4,3,teacher,other,mother,2,2,no,yes,no,yes,yes,yes,4,3,3,76.65,85.14,72.58,7.73,1
M,GT3,2,2,other,other,other,1,3,no,yes,no,yes,yes,yes,5,2,3,68.13,96.8,82.09,7,1
F,GT3,4,4,health,other,mother,1,1,no,yes,no,yes,yes,yes,4,4,2,55.79,82.08,73.6,7.02,1
F,GT3,4,4,services,services,mother,1,3,no,yes,yes,yes,yes,yes,2,3,2,83.6,88.78,83.29,6.91,0
F,GT3,3,3,other,other,mother,3,2,yes,yes,yes,yes,yes,no,3,2,4,70.74,96.96,81.54,8.39,1
M,GT3,3,2,services,services,mother,1,1,no,yes,yes,yes,yes,yes,5,5,5,58.34,97.59,90.44,9.48,1
M,LE3,4,3,health,other,father,1,1,no,no,yes,yes,yes,yes,1,3,5,53.85,98.16,88.31,8.83,1
M,GT3,4,3,teacher,other,mother,1,2,no,no,no,yes,yes,yes,4,1,1,88.67,89.6,76.35,5.7,0
M,GT3,4,4,health,health,father,1,1,no,yes,no,yes,yes,yes,4,2,5,51.86,90.3,84.53,7.66,1
M,LE3,4,2,teacher,other,mother,1,2,no,no,yes,yes,yes,yes,5,1,5,81.01,83.19,77.37,8.66,1
M,LE3,2,2,other,other,mother,2,2,no,yes,yes,yes,yes,yes,4,4,5,88.98,86.19,70.32,5.33,0
F,GT3,2,4,services,health,mother,1,3,yes,yes,yes,yes,yes,yes,3,2,5,75.58,86.35,77.52,8.42,1
F,GT3,2,2,services,services,mother,1,1,no,yes,no,no,yes,yes,2,2,5,51.34,98.71,90.88,9.93,1
M,GT3,2,2,other,other,mother,1,1,no,yes,no,yes,yes,yes,2,2,5,84.14,98.7,93.54,8.49,1
M,GT3,4,2,health,services,mother,1,1,no,no,no,yes,yes,yes,2,4,1,78.62,73.3,57.34,4.87,0
M,LE3,3,4,services,other,mother,1,2,yes,yes,yes,yes,yes,yes,3,3,5,57.05,88.27,74.49,6.81,0
M,GT3,4,4,teacher,teacher,mother,1,2,no,yes,yes,yes,yes,yes,4,5,5,56.31,95.32,88.06,7.23,1
M,GT3,4,4,health,services,mother,1,2,no,yes,no,no,yes,yes,4,2,5,76.55,87.14,78.67,6.51,0
M,GT3,4,4,services,services,mother,2,2,no,yes,yes,yes,yes,yes,3,1,5,78.06,84.04,78.48,8.44,1
M,GT3,4,3,teacher,at_home,mother,1,2,no,yes,yes,yes,yes,yes,5,2,5,78.52,85.11,73.49,6.18,0
M,LE3,3,3,other,other,mother,1,2,no,no,yes,no,yes,yes,3,2,2,56.79,82.24,68,5.69,0
M,GT3,3,2,other,other,mother,1,1,no,yes,no,no,yes,yes,4,3,5,72.81,97.26,81.92,8.36,1
F,GT3,2,3,other,other,father,2,1,no,yes,yes,yes,yes,no,5,1,5,59.37,98.02,90.64,9.62,1
M,LE3,4,3,teacher,services,mother,1,3,no,yes,yes,yes,yes,yes,4,3,4,82.37,99.56,91.83,7.72,1
M,GT3,4,4,other,teacher,mother,2,3,no,yes,yes,yes,yes,yes,4,3,5,65.62,95.08,85.31,8.62,1
F,GT3,3,4,services,health,mother,1,3,yes,yes,yes,yes,yes,yes,3,2,5,55.39,95.69,87.78,8.62,1
F,GT3,2,2,at_home,other,mother,1,1,yes,yes,yes,yes,yes,no,3,1,2,61.25,87.63,72.12,6.7,0
F,LE3,2,2,other,other,mother,2,2,no,yes,yes,no,yes,yes,3,3,3,88.25,93.9,82.85,6.43,0
M,LE3,4,4,teacher,other,other,1,1,no,yes,no,no,yes,yes,4,3,5,66.94,88.58,73.61,5.5,0
M,GT3,4,4,services,teacher,father,1,2,no,yes,yes,yes,yes,yes,3,3,5,69.97,94.96,81.92,7.02,1
M,GT3,2,2,services,services,father,1,1,yes,yes,no,yes,yes,yes,4,1,1,50.71,74.91,60.6,5.76,0
F,LE3,2,2,other,at_home,father,2,2,yes,no,yes,yes,yes,yes,3,3,5,73.68,91.36,79.32,6.54,0
F,LE3,4,3,other,other,mother,1,2,yes,yes,yes,yes,yes,yes,2,2,5,84.35,93.57,83.38,7.62,1
F,LE3,3,3,other,services,mother,1,2,no,yes,no,yes,yes,yes,3,5,3,52.2,98.66,82.94,9.24,1
M,GT3,4,3,health,services,mother,1,4,no,no,yes,yes,yes,yes,2,2,2,79.87,90.38,81.94,8.97,1
M,GT3,4,2,teacher,other,mother,1,2,no,yes,no,yes,yes,no,3,3,5,87.67,89.03,74.73,7.13,1
F,GT3,4,4,services,teacher,father,1,2,yes,yes,yes,no,yes,yes,4,4,3,90.45,88.02,74.08,7.65,1
F,LE3,2,2,services,services,mother,3,2,no,yes,no,yes,yes,yes,3,3,4,82.36,92.18,83.79,7.53,1
F,LE3,4,2,health,other,mother,1,2,no,yes,no,yes,yes,yes,3,3,5,73.51,92.01,77.52,8.15,1
M,LE3,4,2,health,health,father,2,1,no,no,no,yes,yes,no,5,5,5,72.47,98.18,91.1,7.19,1
F,GT3,4,4,services,services,mother,1,1,yes,yes,no,yes,yes,yes,3,4,5,51.12,88.06,74.15,8.17,1
F,LE3,3,3,other,other,mother,1,1,no,no,no,yes,yes,yes,3,4,1,57.54,94.82,81.88,7.75,1
F,GT3,2,1,other,other,mother,1,2,no,no,yes,yes,yes,yes,3,4,2,78.82,91.8,77.55,5.95,0
F,GT3,4,3,services,services,mother,1,2,no,yes,yes,yes,yes,yes,3,2,1,59.5,93.65,84.83,8.67,1
M,GT3,4,4,teacher,health,mother,1,2,no,yes,yes,yes,yes,no,2,2,5,53.82,87.44,71.52,7.67,1
M,LE3,1,2,other,at_home,father,1,2,yes,yes,yes,yes,yes,yes,3,2,5,75.06,86.9,79.53,8.05,1
F,GT3,4,2,services,other,mother,1,2,no,yes,no,yes,yes,yes,2,3,5,81.32,79.3,63.32,5.92,0
F,GT3,4,4,health,teacher,mother,1,2,no,yes,yes,yes,yes,no,4,4,4,65.92,81.57,70.45,6.79,0
F,GT3,1,1,services,services,father,4,1,yes,yes,yes,no,yes,yes,5,5,5,69.05,83.53,74.21,7.21,1
F,LE3,1,2,other,services,father,1,2,yes,no,yes,yes,yes,yes,4,3,1,68.62,99.34,87.86,6.97,0
F,GT3,4,3,teacher,health,mother,1,3,yes,yes,yes,yes,yes,yes,4,4,4,82.86,93.24,86.84,8.86,1
F,LE3,4,3,services,services,father,1,2,yes,no,yes,yes,yes,yes,4,4,2,76.9,86.25,78.98,7.85,1
F,LE3,4,3,teacher,services,mother,3,2,no,yes,yes,yes,yes,yes,4,3,1,88.36,82.86,69.62,6.14,0
M,GT3,4,4,other,services,mother,1,4,no,yes,yes,no,yes,yes,3,3,3,76.74,91.19,83.83,7.89,1
F,GT3,3,1,services,other,mother,1,4,yes,yes,no,yes,yes,yes,3,3,5,73.72,98.43,86.72,8.99,1
F,LE3,2,2,health,services,mother,2,2,yes,yes,no,yes,yes,yes,1,3,4,56.44,97.2,81.63,8.86,1
F,LE3,3,1,other,other,father,2,4,no,yes,no,no,yes,yes,4,2,3,55.79,97.36,89.93,7.94,1
M,GT3,3,1,other,other,father,2,4,no,yes,no,yes,yes,yes,3,2,5,52.38,69.21,63.43,5.59,0
M,GT3,4,2,other,other,mother,1,4,no,no,no,yes,yes,yes,3,3,3,83.48,94.57,80.3,8.46,1
F,GT3,1,1,other,other,mother,1,2,yes,yes,no,no,yes,yes,3,4,5,62.18,86.12,77.15,5.88,0
M,GT3,3,1,other,other,mother,1,1,no,no,yes,yes,yes,no,3,2,5,63.22,86.47,71.49,5.67,0
F,GT3,3,3,other,services,mother,1,2,yes,yes,yes,yes,yes,yes,3,3,5,74.57,96.77,91.21,7.64,1
M,GT3,4,3,teacher,other,mother,1,2,no,yes,yes,yes,yes,yes,3,3,5,73.13,91.65,84.07,7.3,1
M,GT3,4,0,teacher,other,mother,2,4,no,no,yes,yes,yes,yes,4,3,1,53.14,81.72,68.9,7.09,1
F,GT3,2,2,other,other,mother,1,4,no,no,no,yes,yes,yes,2,3,3,82.88,97.58,91.59,9,1
M,GT3,2,1,other,other,mother,2,1,yes,yes,yes,yes,no,yes,5,1,3,77.02,80.32,64.91,6.94,0
F,GT3,3,4,at_home,other,mother,1,2,no,yes,no,yes,yes,yes,4,3,3,85.09,97.6,89.1,8.81,1
M,GT3,2,3,other,services,father,1,1,yes,yes,yes,no,yes,yes,2,2,3,67.92,98.38,89.32,9.15,1
M,GT3,2,3,other,other,mother,1,3,yes,no,no,no,yes,yes,3,2,5,64.34,99.67,90.1,8.8,1
F,LE3,3,2,services,other,mother,1,2,no,yes,no,yes,yes,yes,4,4,5,65.64,98.23,91.46,8.4,1
M,LE3,2,2,services,services,mother,2,2,no,no,yes,yes,yes,yes,3,3,4,55.75,88.7,73.73,5.98,0
F,GT3,1,1,other,other,father,1,2,no,yes,yes,no,yes,yes,3,2,4,89.17,98.84,86.5,7.87,1
F,GT3,4,4,services,services,father,2,2,no,no,no,yes,yes,yes,4,4,5,77,92.33,76.83,7.25,1
F,LE3,2,2,at_home,other,mother,1,2,no,yes,no,yes,yes,no,3,4,2,59.82,92.7,82.33,9.09,1
F,GT3,4,2,other,other,mother,1,3,no,yes,yes,yes,yes,yes,3,3,1,62.12,95.79,83.28,6.64,0
M,GT3,2,2,services,other,father,2,2,no,no,yes,no,yes,yes,4,2,3,85.28,87,73.69,6.55,0
M,LE3,4,4,teacher,health,mother,1,2,no,yes,no,yes,yes,no,1,3,5,52.72,96.72,81.35,8.85,1
F,GT3,3,3,other,other,mother,1,3,no,yes,no,yes,yes,yes,3,3,4,83.88,80.34,66.44,5.94,0
F,GT3,4,3,services,other,mother,1,1,no,no,yes,yes,yes,yes,5,5,1,66.66,82.84,73.72,7.74,1
F,LE3,3,1,other,other,father,1,2,yes,yes,no,yes,yes,no,3,3,2,69.19,84.1,76.17,5.8,0
F,GT3,4,2,teacher,services,mother,2,2,no,yes,yes,yes,yes,yes,3,3,1,51.9,80.47,75.05,7.57,1
M,LE3,2,2,services,health,mother,1,4,no,yes,yes,yes,yes,yes,3,4,4,66.57,80.3,65.97,5.69,0
F,GT3,1,1,at_home,other,mother,2,4,yes,yes,yes,yes,yes,yes,1,2,1,81.43,87.2,76,6.35,0
M,GT3,4,3,services,other,mother,2,1,yes,yes,yes,no,yes,yes,3,3,4,65.87,93.79,80.34,6.09,0
F,GT3,2,1,other,other,mother,1,2,no,yes,no,yes,yes,no,3,5,5,79.19,84.26,78.19,7.06,1
F,GT3,4,4,other,other,mother,1,1,no,no,yes,no,yes,yes,3,4,1,85.91,81.5,68.15,5.5,0
F,GT3,4,3,other,at_home,mother,1,3,yes,yes,no,yes,yes,yes,3,5,3,71.22,56.81,42.05,2.47,0
M,GT3,4,4,services,services,mother,1,1,yes,yes,yes,yes,yes,yes,5,5,4,70.99,85.21,76.84,7.64,1
M,GT3,4,4,services,teacher,father,1,3,no,yes,yes,yes,yes,yes,4,3,4,68.74,87.86,77.62,5.88,0
M,GT3,4,4,services,other,mother,1,1,no,yes,yes,no,yes,yes,3,3,5,87.67,91.13,82.09,7.99,1
F,GT3,3,2,services,other,mother,2,2,yes,yes,no,yes,yes,yes,3,5,2,90,95.91,80.06,7.84,1
M,GT3,3,4,services,other,mother,1,2,no,yes,yes,yes,yes,yes,4,4,1,52.82,85.4,73.02,6.98,0
F,GT3,3,3,other,health,father,1,4,yes,no,no,yes,yes,no,3,3,4,56.96,90.51,74.57,7.03,1
F,GT3,2,2,other,other,mother,1,4,yes,yes,no,yes,yes,yes,1,2,3,83.33,91.56,76.04,6.58,0
M,GT3,3,3,services,other,father,1,3,no,yes,yes,yes,yes,yes,3,3,5,79.73,90.51,79.58,5.97,0
M,GT3,4,4,other,other,father,4,4,no,yes,yes,yes,yes,yes,3,5,1,70.1,83.4,75.55,7.36,1
F,LE3,4,4,health,health,mother,1,3,no,yes,yes,yes,yes,yes,4,5,4,78.01,90.09,85.05,6.51,0
M,LE3,4,4,teacher,teacher,mother,1,1,no,no,yes,yes,yes,yes,5,3,4,88.15,68.21,52.82,5.54,0
F,GT3,3,3,services,other,father,1,3,yes,yes,yes,yes,yes,yes,1,2,2,81.64,90.65,85.27,7.62,1
F,GT3,2,2,at_home,other,mother,1,2,yes,no,yes,yes,yes,yes,1,2,5,58.97,94.41,84.72,6.67,0
M,LE3,4,2,teacher,other,mother,1,1,no,no,no,yes,yes,yes,5,2,3,53.68,82.04,75.7,5.68,0
M,GT3,2,1,health,services,mother,1,2,no,no,yes,yes,yes,yes,4,2,5,72.61,85.46,72.46,7.29,1
M,GT3,4,4,teacher,teacher,father,1,2,no,yes,yes,yes,yes,yes,4,4,5,87.99,81.18,70.77,5.86,0
M,GT3,4,4,other,teacher,father,2,2,no,yes,yes,yes,yes,no,4,3,2,81.03,88.31,82.25,8.4,1
M,GT3,3,3,other,services,father,2,1,no,no,yes,yes,yes,yes,4,2,5,50.51,80.6,66.08,5.13,0
M,GT3,1,3,other,other,father,3,2,no,yes,yes,yes,yes,yes,2,4,5,62.52,86.9,74.11,6.26,0
M,GT3,3,4,other,other,father,1,1,no,no,no,yes,yes,yes,4,3,4,79,98.52,88.63,8.28,1
F,GT3,1,2,at_home,services,mother,1,2,no,no,no,no,yes,yes,2,3,1,72.22,98.69,86.72,9.19,1
M,GT3,2,2,services,services,father,1,4,no,yes,yes,yes,yes,yes,5,4,5,69.89,98.28,91.94,9.55,1
F,LE3,2,4,other,health,father,2,2,no,yes,yes,yes,yes,yes,2,2,5,86.46,99.69,90.83,9.97,1
M,GT3,4,4,health,other,mother,1,1,no,yes,yes,yes,yes,yes,4,4,5,86.99,94.75,79.29,7.1,1
F,GT3,2,2,other,other,mother,1,2,no,no,no,yes,yes,yes,4,4,5,59.15,74.1,65.31,7.42,1
M,GT3,3,4,services,services,father,1,1,yes,no,no,yes,yes,yes,5,5,5,67.55,89.69,75.13,6.8,0
F,LE3,3,4,other,other,mother,1,2,yes,no,yes,yes,yes,yes,3,2,1,86.11,93.37,80.1,6.67,0
F,GT3,0,1,at_home,other,other,1,2,no,yes,no,no,no,no,4,2,5,90.09,85.35,72.81,6.77,0
M,GT3,2,2,services,other,mother,1,1,no,yes,yes,yes,yes,yes,3,3,4,79.2,85.76,80.27,6.67,0
M,GT3,4,4,teacher,teacher,mother,1,1,no,no,yes,yes,yes,yes,5,5,4,81.18,84.87,76.29,6.24,0
F,GT3,3,4,services,teacher,father,2,3,no,yes,no,yes,yes,yes,2,2,5,58.47,87.63,75.28,6.11,0
F,GT3,1,1,at_home,other,mother,3,1,no,yes,yes,no,yes,yes,3,3,4,58.88,87.55,79.79,6.24,0
F,LE3,2,2,other,other,father,1,1,no,yes,no,yes,yes,yes,4,4,5,62.09,87.08,79.84,8.84,1
F,GT3,3,4,services,other,father,1,1,no,no,no,yes,yes,yes,2,1,5,59.76,82.4,67.76,6.56,0
M,GT3,3,4,at_home,teacher,mother,4,2,no,yes,no,yes,yes,no,3,3,5,84.94,90.38,74.61,6.28,0
F,GT3,4,4,services,at_home,mother,1,3,no,yes,yes,yes,yes,yes,3,3,5,61.65,85.36,77.27,6.83,0
M,GT3,3,4,at_home,other,mother,3,2,no,no,no,yes,yes,no,4,5,5,54.38,85.67,76.07,8.48,1
F,GT3,3,3,other,other,other,2,1,no,yes,yes,no,yes,yes,3,2,5,79.27,90.44,76,7.06,1
M,LE3,1,1,services,other,mother,1,2,no,no,no,yes,yes,no,4,4,5,75.05,93.23,86.1,9.21,1
F,GT3,4,4,teacher,teacher,mother,2,1,no,no,yes,yes,yes,yes,3,2,5,66,89.91,83.73,8.7,1
M,GT3,4,3,teacher,services,father,2,4,yes,yes,no,yes,yes,yes,2,2,3,59.96,80.29,74.29,8.4,1
M,LE3,2,2,services,services,father,2,1,no,yes,yes,yes,yes,yes,3,3,2,62.61,90.27,77.91,8.72,1
F,GT3,4,4,teacher,services,mother,1,3,no,yes,yes,yes,yes,yes,2,2,5,76.39,91.02,81.69,7.35,1
F,LE3,1,1,at_home,at_home,mother,1,1,no,no,no,yes,yes,yes,4,4,1,78.48,56.1,43.83,4.13,0
M,GT3,2,1,other,other,mother,1,1,no,yes,no,yes,yes,yes,4,5,5,69.82,84.64,75.19,7.04,1
F,GT3,1,1,other,services,father,1,2,no,yes,no,yes,yes,yes,4,2,5,63.41,95.84,83.76,6.4,0
F,GT3,3,2,health,services,father,1,2,no,yes,no,yes,yes,yes,3,2,3,65.26,98.7,89.93,8.29,1
F,GT3,1,2,at_home,other,mother,1,2,no,yes,no,no,yes,yes,3,2,5,70.88,99.63,84.8,8.29,1
M,GT3,4,4,teacher,teacher,mother,1,1,no,yes,no,yes,no,yes,3,2,5,62.28,88.8,80.74,8.8,1
M,LE3,2,1,services,other,mother,4,1,no,no,no,yes,yes,yes,5,5,5,84.76,89.67,82.16,7.5,1
M,LE3,1,1,other,other,mother,1,1,no,no,no,yes,no,yes,3,5,4,72.52,83.75,69.54,7.83,1
M,LE3,2,1,at_home,other,mother,1,1,no,no,yes,yes,yes,no,4,4,5,71.6,98.99,87.52,7.82,1
F,GT3,3,3,services,services,other,2,3,no,yes,yes,yes,yes,yes,2,1,3,61.98,94.04,87.88,8.94,1
M,GT3,3,2,services,at_home,mother,1,1,no,yes,no,yes,no,yes,5,4,4,71.36,83.34,75.61,6.67,0
F,GT3,4,4,other,teacher,mother,1,1,yes,yes,no,yes,yes,no,2,1,4,59.77,96.81,81.05,6.42,0
M,GT3,2,3,at_home,services,mother,1,2,yes,no,yes,yes,yes,no,4,4,1,85.35,86.85,74.02,6.76,0
M,LE3,1,2,other,other,mother,1,1,no,no,no,yes,yes,no,2,2,5,58.71,98.16,87.69,8.15,1
F,GT3,1,1,at_home,other,mother,3,1,no,yes,yes,no,yes,no,2,5,4,62.16,83.69,77.49,6.04,0
M,GT3,2,2,at_home,other,mother,3,1,no,no,no,no,yes,no,2,2,3,69.62,84.65,78.93,6.02,0
M,GT3,3,3,other,services,father,1,2,no,yes,no,yes,yes,yes,5,5,5,54.45,86.9,78.64,8.35,1
M,LE3,2,1,at_home,other,mother,2,1,no,no,yes,yes,no,yes,3,2,5,59.08,95.16,81.12,8.85,1
M,GT3,3,2,other,other,mother,2,2,yes,yes,no,yes,yes,yes,4,4,3,63.07,65.01,58.2,5.51,0
M,LE3,1,2,other,other,mother,2,1,no,no,yes,yes,yes,no,4,4,5,64.21,97.98,90.37,9.73,1
M,GT3,1,3,at_home,services,father,1,1,no,no,no,yes,no,yes,3,3,2,72.65,89.21,81.7,6.48,0
M,LE3,1,1,other,services,mother,4,2,no,no,yes,yes,no,no,3,5,5,83.68,99.52,86.35,6.72,0
M,GT3,3,2,services,services,mother,2,1,no,yes,yes,no,no,no,5,2,2,51.18,95.95,88.95,8.85,1
M,GT3,2,2,other,other,father,1,2,no,no,no,yes,no,yes,3,5,4,84.79,95.45,89.25,9.48,1
F,GT3,4,2,health,services,father,1,2,no,no,no,yes,yes,yes,2,3,3,51.17,81.38,72.6,6.63,0
F,GT3,2,2,other,other,mother,1,2,no,yes,no,no,yes,yes,1,5,4,81.89,81.15,66.9,6.25,0
F,GT3,4,4,health,health,mother,1,2,no,yes,no,yes,yes,yes,4,2,3,65.48,88.89,81.58,7.6,1
M,GT3,3,4,other,other,father,3,1,no,yes,yes,no,yes,yes,4,5,2,64.86,85.55,77.66,7.79,1
M,GT3,1,0,other,other,mother,2,2,no,yes,yes,yes,yes,yes,3,2,3,73,99.97,86.68,8.66,1
M,LE3,4,4,teacher,other,mother,1,2,no,yes,yes,yes,yes,yes,4,4,5,79.24,81.05,71.87,5.62,0
F,GT3,1,3,at_home,services,mother,1,2,no,no,yes,no,yes,yes,3,5,3,84.51,97.48,84.17,9.04,1
F,LE3,3,3,other,other,mother,2,2,no,yes,yes,yes,yes,yes,4,5,4,59.84,93.71,82.78,7.33,1
M,LE3,4,3,teacher,other,mother,2,2,no,no,yes,yes,yes,yes,4,4,4,74.18,99.74,93.81,8.97,1
F,GT3,2,2,services,other,mother,2,2,no,no,yes,no,yes,yes,4,4,5,81.64,97.77,85.99,7.04,1
M,GT3,3,3,other,other,father,1,2,no,no,yes,no,yes,yes,3,4,4,84.89,82.63,71.84,8,1
M,GT3,4,2,teacher,services,mother,1,1,no,yes,yes,yes,yes,yes,3,3,3,63.49,98.63,85.29,7.73,1
M,GT3,4,3,other,other,mother,1,2,no,yes,yes,yes,yes,yes,2,3,2,64.37,74.13,60.05,4.12,0
M,GT3,4,3,teacher,other,mother,1,2,no,yes,yes,yes,yes,yes,4,3,3,76.88,87.68,74.06,7.3,1
M,GT3,3,3,services,other,mother,1,2,no,no,yes,yes,yes,yes,2,3,3,82.75,89.5,81.77,8.68,1
F,GT3,2,4,services,services,father,1,2,no,yes,yes,yes,yes,no,4,2,5,60.16,94.47,80.03,8.43,1
F,LE3,3,3,other,other,mother,1,2,no,yes,yes,yes,yes,yes,3,3,1,89.17,88.17,83.15,7.17,1
F,GT3,3,2,other,other,mother,1,2,no,yes,no,yes,yes,yes,2,2,1,77.6,96.58,82.7,7.09,1
M,GT3,3,3,services,services,mother,1,2,no,yes,yes,yes,yes,yes,3,4,4,52,93.68,78.57,6.09,0
M,GT3,1,2,services,services,mother,1,1,no,yes,yes,yes,yes,yes,3,3,3,52.54,98.66,84.76,8.42,1
M,LE3,2,1,other,other,mother,1,2,no,no,yes,yes,yes,yes,2,3,5,81.57,96.7,86.36,7.64,1
F,GT3,3,3,health,other,mother,1,2,no,yes,no,no,yes,yes,3,3,3,55.89,80.86,75.82,6.66,0
M,GT3,1,2,at_home,other,mother,1,2,no,no,no,yes,yes,no,1,3,3,52.22,99.96,89.33,8.26,1
F,GT3,2,3,services,services,mother,1,2,no,no,no,yes,yes,yes,3,3,2,64.76,95.11,83.94,6.8,0
F,GT3,1,1,at_home,services,mother,1,2,no,no,yes,yes,yes,yes,3,3,3,77.13,90.16,81.44,7.02,1
M,GT3,1,2,at_home,services,other,2,2,no,no,yes,no,yes,yes,4,4,5,65.37,86.51,77.68,7.76,1
M,GT3,3,3,services,services,mother,1,1,no,yes,yes,yes,yes,yes,3,2,5,52.19,99,92.09,9.23,1
M,GT3,2,3,other,other,father,2,1,no,no,no,yes,yes,yes,3,3,3,59.92,87.37,82.21,7.73,1
F,LE3,2,4,services,services,father,1,2,no,no,yes,yes,yes,yes,3,2,5,85.34,81.34,66.85,6.7,0
